20260223  ;ZE4MVSD_A1                    ;T271154017     ;APF289467 ;MI91F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260303  ;ZE4MVSD_A1                    ;T271154018     ;APF289663 ;MI92F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260325  ;ZE4MVSD_A1                    ;T271154019     ;APF289697 ;MI93F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260305  ;ZE4MVSD_A1                    ;T271154020     ;APF296040 ;MI95F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260310  ;ZE4MVSD_A1                    ;T271154021     ;APF296220 ;MI96F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260309  ;ZE4MVSD_A1                    ;T271154022     ;APF296154 ;MI97F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260311  ;ZE4MVSD_A1                    ;T271154023     ;APF296269 ;MJ01F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260409  ;ZE4MVSD_A1                    ;T271154024     ;APF296313 ;MJ02F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260319  ;ZS4MVSD                       ;T280952013     ;APF294680 ;QB40F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260319  ;ZS4MVSD                       ;T280952014     ;APF294564 ;QB41F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260319  ;ZS4MVSD                       ;T280952015     ;APF294720 ;QB42F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260319  ;ZS4MVSD                       ;T280952016     ;APF294554 ;QB43F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260417  ;ZS4MVSD                       ;T280953013     ;APF295493 ;QB52F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260417  ;ZS4MVSD                       ;T280953014     ;APF295694 ;QB53F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260417  ;ZS4MVSD                       ;T280953015     ;APF295761 ;QB54F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260417  ;ZS4MVSD                       ;T280953016     ;APF295473 ;QB55F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260116  ;ZE4MVSD_A1                    ;T291499017     ;APF292021 ;UR18F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260121  ;ZE4MVSD_A1                    ;T291499018     ;APF292045 ;UR19F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260122  ;ZE4MVSD_A1                    ;T291499019     ;APF292120 ;UR20F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260123  ;ZE4MVSD_A1                    ;T291499020     ;APF292141 ;UR21F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260128  ;ZE4MVSD_A1                    ;T291499021     ;APF292187 ;UR22F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260128  ;ZE4MVSD_A1                    ;T291499022     ;APF292245 ;UR23F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260205  ;ZE4MVSD_A1                    ;T291499023     ;APF292308 ;UR24F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260130  ;ZE4MVSD_A1                    ;T291499024     ;APF292346 ;UR25F;V114;30;0        ;H;SIGRID.VAN.REETH              ;
20260420  ;ZS4MVSD                       ;T292702019     ;APF294917 ;VB90F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260420  ;ZS4MVSD                       ;T292702020     ;APF295112 ;VB91F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260420  ;ZS4MVSD                       ;T292702021     ;APF295158 ;VB92F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260420  ;ZS4MVSD                       ;T292702022     ;APF295320 ;VB93F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
20260420  ;ZS4MVSD                       ;T292702023     ;APF295355 ;VB94F;V361;30;0        ;*;SOFIE.MAMPAEY                 ;
